inventory,writer,count,source,destination,year,date,r_date,language,notes
DvdM_538a-198,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921102,15921103,Dutch,
DvdM_538a-199,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921106,15921106,Dutch,
DvdM_538a-200,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921116,15921116,Dutch,
DvdM_412,"Lesten, Elias",1,The Hague,Haarlem,1592,15921118,NA,,
DvdM_558-027,"Janssen van der Meulen, Peeter",1,London,Leiden,1592,15921122,15921208,Dutch,Changed date to new style
DvdM_538a-201,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921126,15921128,Dutch,
DvdM_538a-202,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921203,15921203,Dutch,
DvdM_593a-125,"Meulen, Andries van der",1,Bremen,Leiden,1592,15921209,15921218,Dutch,
DvdM_353-03,"Fremin, George de",1,Liege,Leiden,1592,15921211,15921216,,
DvdM_538a-203,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921212,15921212,Dutch,
DvdM_538a-204,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921215,15921216,Dutch,
DvdM_593a-126,"Meulen, Andries van der",1,Bremen,Leiden,1592,15921216,15921226,Dutch,
DvdM_295-05,"Meulen, Sara van der",1,Bremen,Leiden,1592,15921217,15921223,Dutch,Changed date to new style
DvdM_593a-127,"Meulen, Andries van der",1,Bremen,Leiden,1592,15921219,NA,Dutch,
DvdM_274-38,"Della Faille, Marten",1,Antwerp,Leiden,1592,15921224,15930123,Dutch,DvdM_274-39 is a copy of this letter.
DvdM_593a-128/129,"Meulen, Andries van der",1,Bremen,Leiden,1592,15921225,15930105,Dutch,
DvdM_538a-206,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921226,15921228,Dutch,
DvdM_538a-207,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921229,15921230,Dutch,
DvdM_538a-208,"Della Faille, Jacques",1,Haarlem,Leiden,1592,15921230,15921230,Dutch,
DvdM_593a-130,"Meulen, Andries van der",1,Bremen,Leiden,1593,15930101,15930112,Dutch,
DvdM_593a-131,"Meulen, Andries van der",1,Bremen,Leiden,1593,15930102,15930112,Dutch,
