inventory,writer,source,destination,year,date,rec_date,resp_date,language,notes
DvdM_271-16,"Della Faille, Jan de Carlo",Cologne,Leiden,1598,15980418,NA,NA,Dutch,
DvdM_271-17,"Della Faille, Jan de Carlo",Antwerp,Leiden,1598,15980603,15980610,NA,Dutch,
DvdM_271-18,"Della Faille, Jan de Carlo",Antwerp,Leiden,1600,16000328,16000409,NA,Dutch,
DvdM_272,"Della Faille, Jeronimus",Ghent,Leiden,1593,15930901,15930927,NA,Dutch,
DvdM_273-01,"Della Faille, Maria",NA,Leiden,1594,15940307,NA,NA,Dutch,Need to look at letter and find where it was from and where it was sent.
DvdM_273-02,"Della Faille, Maria",Verona,Leiden,1598,15980522,15980612,NA,Dutch,
DvdM_274-07,"Della Faille, Marten",Antwerp,Haarlem,1585,15850124,NA,NA,Dutch,RGP-73
DvdM_274-08,"Della Faille, Marten",Antwerp,Haarlem,1585,15850328,NA,NA,Dutch,RGP-103
DvdM_274-10a,"Della Faille, Marten",Antwerp,Delft,1585,15850509,NA,NA,Dutch,RGP-120. No listed destination.
DvdM_274-10b,"Della Faille, Marten",Antwerp,Delft,1585,15850528,NA,NA,Dutch,RGP-126. No listed destination.
DvdM_274-11,"Della Faille, Marten",Antwerp,Delft,1585,15850916,NA,NA,Dutch,RGP-179
DvdM_274-12,"Della Faille, Marten",Antwerp,Delft,1585,15850917,NA,NA,Dutch,RGP-180
DvdM_274-13,"Della Faille, Marten",Antwerp,Bremen,1586,15860105,15860126,NA,Dutch,
DvdM_274-14,"Della Faille, Marten",Antwerp,London,1586,15860821,15860830,NA,Dutch,
DvdM_274-15,"Della Faille, Marten",Antwerp,London,1586,15860912,NA,NA,Dutch,
DvdM_274-16,"Della Faille, Marten",Antwerp,London,1586,15860928,NA,NA,Dutch,
DvdM_274-18,"Della Faille, Marten",Antwerp,Bremen,1587,15870726,NA,NA,Dutch,Same day Marten also sent a letter to Hester 274-17
DvdM_274-19,"Della Faille, Marten",Antwerp,Bremen,1588,15880803,NA,NA,Dutch,
DvdM_274-20,"Della Faille, Marten",Antwerp,Bremen,1588,15880810,NA,NA,Dutch,
DvdM_274-21,"Della Faille, Marten",Antwerp,Bremen,1588,15880827,NA,NA,Dutch,
DvdM_274-22,"Della Faille, Marten",Antwerp,Bremen,1589,15890614,15890621,NA,Dutch,
DvdM_274-23,"Della Faille, Marten",Antwerp,Bremen,1589,15890816,15890827,NA,Dutch,
DvdM_274-24,"Della Faille, Marten",Antwerp,Bremen,1589,15891020,NA,NA,Dutch,"Letter is not in Marten's handwriting, but it is from Marten."
DvdM_274-25,"Della Faille, Marten",Antwerp,Bremen,1589,15891031,15891112,NA,Dutch,
DvdM_274-26,"Della Faille, Marten",Antwerp,Bremen,1589,15891229,15900106,NA,Dutch,
DvdM_274-27,"Della Faille, Marten",Antwerp,Bremen,1590,15900103,15900116,NA,Dutch,
DvdM_274-28,"Della Faille, Marten",Antwerp,Bremen,1590,15900221,15900304,NA,Dutch,
DvdM_274-29,"Della Faille, Marten",Antwerp,Frankfurt,1590,15900404,15900416,NA,Dutch,
DvdM_274-30,"Della Faille, Marten",Antwerp,Frankfurt,1590,15900428,15900508,NA,Dutch,
DvdM_274-31,"Della Faille, Marten",Antwerp,Bremen,1590,15900801,15900812,NA,Dutch,
DvdM_274-32,"Della Faille, Marten",Antwerp,Bremen,1590,15900822,15900901,NA,Dutch,
DvdM_274-33,"Della Faille, Marten",Antwerp,Leiden,1591,15911107,15911118,NA,Dutch,
DvdM_274-34,"Della Faille, Marten",Antwerp,Leiden,1591,15911210,15911219,NA,Dutch,Full letter in DvdM 325-7 with address page in DvdM 274-34
DvdM_274-35,"Della Faille, Marten",Antwerp,Leiden,1592,15920221,15920312,NA,Dutch,
DvdM_274-36,"Della Faille, Marten",Antwerp,Leiden,1592,15920402,NA,NA,Dutch,
DvdM_274-37,"Della Faille, Marten",Antwerp,Leiden,1592,15920627,15920709,NA,Dutch,
DvdM_274-38,"Della Faille, Marten",Antwerp,Leiden,1592,15921224,15930123,NA,Dutch,DvdM_274-39 is a copy of this letter.
DvdM_274-40,"Della Faille, Marten",Antwerp,Leiden,1593,15930512,15930522,NA,Dutch,
DvdM_274-41,"Della Faille, Marten",Antwerp,Leiden,1593,15930813,15930820,NA,Dutch,
DvdM_274-42,"Della Faille, Marten",Antwerp,Leiden,1593,15930928,15931001,NA,Dutch,
DvdM_274-43,"Della Faille, Marten",Antwerp,Leiden,1593,15931207,15931211,NA,Dutch,
DvdM_274-44,"Della Faille, Marten",Antwerp,Leiden,1594,15940211,15940223,NA,Dutch,
DvdM_274-45,"Della Faille, Marten",Antwerp,Leiden,1594,15940605,15940609,NA,Dutch,
DvdM_274-46,"Della Faille, Marten",Brussels,Antwerp,1594,15940926,15940927,NA,Dutch,Daniel responds to this letter with DvdM 274-47 with a letter to Brussels.
DvdM_274-48,"Della Faille, Marten",Antwerp,Leiden,1594,15941028,15941109,NA,Dutch,
DvdM_274-49,"Della Faille, Marten",Antwerp,Leiden,1594,15941031,15941109,NA,Dutch,
DvdM_274-50,"Della Faille, Marten",Antwerp,Leiden,1594,15941107,15941118,NA,Dutch,
DvdM_274-51,"Della Faille, Marten",Antwerp,Leiden,1595,15950222,15950226,NA,Dutch,
DvdM_274-52,"Della Faille, Marten",Antwerp,Leiden,1595,15950425,15950502,NA,Dutch,
DvdM_274-53/54,"Della Faille, Marten",Antwerp,Leiden,1595,15951101,15951106,NA,Dutch,
DvdM_274-55,"Della Faille, Marten",Ghent,Leiden,1596,15960226,15960308,NA,Dutch,
DvdM_274-56,"Della Faille, Marten",Antwerp,Leiden,1597,15971229,15980109,NA,Dutch,
DvdM_274-57,"Della Faille, Marten",Brussels,Antwerp,1598,15980116,NA,NA,Dutch,
DvdM_274-58,"Della Faille, Marten",Brussels,Leiden,1598,15980223,15980305,NA,Dutch,
DvdM_274-59,"Della Faille, Marten",Brussels,Leiden,1598,15980307,15980320,NA,Dutch,
DvdM_274-60,"Della Faille, Marten",Brussels,Leiden,1598,15980318,15980326,NA,Dutch,
DvdM_274-61,"Della Faille, Marten",Brussels,Leiden,1598,15980602,15980610,NA,Dutch,
DvdM_274-62,"Della Faille, Marten",Brussels,Leiden,1598,15980718,15980726,NA,Dutch,Written on 17 and 18 July 1598
DvdM_274-63,"Della Faille, Marten",Brussels,Leiden,1598,15980822,15980902,NA,Dutch,
DvdM_274-64,"Della Faille, Marten",Brussels,Leiden,1598,15980908,15980924,NA,Dutch,
DvdM_274-65,"Della Faille, Marten",Brussels,Leiden,1598,15981006,15981016,NA,Dutch,
DvdM_274-66,"Della Faille, Marten",Brussels,Leiden,1599,15990113,15990128,NA,Dutch,"Not clear where letter is sent from, but I am guessing Brussels."
DvdM_274-67,"Della Faille, Marten",Ghent,Leiden,1599,15990312,15990319,NA,Dutch,
DvdM_274-68/69,"Della Faille, Marten",Brussels,Leiden,1599,15990415,15990426,NA,Dutch,
DvdM_274-70,"Della Faille, Marten",Brussels,Leiden,1599,15990507,15990610,NA,Dutch,
DvdM_274-72,"Della Faille, Marten",Antwerp,Leiden,1599,15990521,15990610,NA,Dutch,
DvdM_274-73,"Della Faille, Marten",Brussels,Cologne,1599,15990625,NA,NA,Dutch,
DvdM_274-74,"Della Faille, Marten",Brussels,Leiden,1599,15990710,15990724,NA,Dutch,
DvdM_274-75,"Della Faille, Marten",Brussels,Leiden,1599,15991010,15991018,NA,Dutch,
DvdM_274-76,"Della Faille, Marten",Brussels,Leiden,1599,15991112,15991127,NA,Dutch,
DvdM_274-77,"Della Faille, Marten",Brussels,Leiden,1600,16000119,16000203,NA,Dutch,
DvdM_274-78,"Della Faille, Marten",Brussels,Leiden,1600,16000425,16000430,NA,Dutch,
DvdM_274-79/80,"Della Faille, Marten",Brussels,Leiden,1600,16000718,16000822,NA,Dutch,
DvdM_275-01,"Della Faille, David",Delft,Leiden,1596,15961106,15961108,NA,Dutch,
DvdM_275-02,"Della Faille, David",Delft,Leiden,1596,15961118,NA,NA,Dutch,
DvdM_275-04,"Della Faille, David",Delft,Leiden,1597,15970306,15970308,NA,Dutch,
DvdM_276,"Della Faille, Pieter",NA,Leiden,NA,NA,NA,NA,Dutch,"No date, but sent to Leiden and written on 28 August."
DvdM_277-01,"Frumault, Hester",Venice,Leiden,1599,15990806,NA,NA,Dutch,Letter signed as Hester Frumault
DvdM_278,"Frumault, Robert",The Hague,Leiden,1591,15911204,NA,NA,Dutch,
DvdM_279-02,"Gerritsz, Jan",Delft,Leiden,1598,15981003,15981003,NA,Dutch,
DvdM_279-03,"Gerritsz, Jan",Delft,Leiden,1598,15981005,15981006,NA,Dutch,
DvdM_281-01,"Hoest, Andries de",Leiden,Leiden,1597,15971125,15971125,NA,Dutch,
DvdM_281-02,"Hoest, Andries de",Delft,Leiden,1597,15971205,15971205,NA,Dutch,
DvdM_281-04,"Hoest, Andries de",Delft,Leiden,1598,15980520,15980520,NA,Dutch,
DvdM_281-05,"Hoest, Andries de",Leiden,Leiden,1598,15981028,15981029,NA,Dutch,
DvdM_283-01,"Janssen, Mayken",Middelburg,Leiden,1595,15951022,NA,NA,Dutch,
DvdM_283-02,"Janssen, Mayken",Middelburg,Leiden,1596,15960220,15960222,NA,Dutch,
DvdM_284-01,"Hevere, Josyne de",NA,Leiden,1595,15951201,NA,NA,French,"Letter was sent in December, but exact date is approximate. Not clear where letter is from."
DvdM_284-02,"Hevere, Josyne de",Middelburg,Leiden,1596,15960127,15960130,15960221,French,"Unclear where it is from, but reception date shows that it was close to Leiden."
DvdM_284-03,"Hevere, Josyne de",Middelburg,Leiden,1596,15960305,NA,NA,French,
DvdM_284-04,"Hevere, Josyne de",Middelburg,Leiden,1596,15960312,15960315,NA,French,
DvdM_284-05,"Hevere, Josyne de",Middelburg,Leiden,1596,15960325,15960430,NA,French,"This letter clearly says from Middelburg, showing that the earlier letters are also from Middelburg."
DvdM_284-06,"Hevere, Josyne de",NA,Leiden,1596,15961105,15961125,NA,French,
DvdM_284-07,"Hevere, Josyne de",NA,Leiden,1597,15970127,15970311,NA,French,Might be from Rouen
DvdM_284-08,"Hevere, Josyne de",Paris,Leiden,1597,15970326,15970420,NA,French,
DvdM_284-09,"Hevere, Josyne de",Paris,Leiden,1597,15970515,15970604,NA,French,
DvdM_284-10,"Hevere, Josyne de",Paris,Leiden,1597,NA,NA,NA,French,From 1597 but exact day is unclear.
DvdM_285-01,"Clerck, Hans de",Middelburg,Leiden,1600,16000728,16000731,NA,Dutch,This letter was sent after Daniel's death.
DvdM_286-01,"Corput, Hansken van den",The Hague,Leiden,1594,15940804,NA,NA,Dutch,
DvdM_286-02,"Corput, Hansken van den",The Hague,Leiden,1594,15940920,15940920,15940921,Dutch,
DvdM_286-04,"Corput, Hansken van den",The Hague,Leiden,1594,15941026,NA,NA,Dutch,
DvdM_286-05,"Corput, Hansken van den",The Hague,Leiden,1594,15941028,NA,NA,Dutch,
DvdM_286-06,"Corput, Hansken van den",The Hague,Leiden,1594,15941125,15941126,15941126,Dutch,
DvdM_286-07,"Corput, Hansken van den",The Hague,Leiden,1594,15941210,15941210,NA,Dutch,
DvdM_286-08,"Corput, Hansken van den",The Hague,Bremen,1594,15941226,15950106,NA,Dutch,Did not change received date. Not sure if it is new or old style.
DvdM_286-09,"Corput, Hansken van den",The Hague,Leiden,1595,15950301,15950301,NA,Dutch,
DvdM_286-11,"Corput, Hansken van den",The Hague,Leiden,1595,15950308,NA,NA,Dutch,
DvdM_286-11,"Corput, Hansken van den",The Hague,Leiden,1595,15950320,15950320,NA,Dutch,
DvdM_286-12,"Corput, Hansken van den",The Hague,Leiden,1595,15950701,15950702,NA,Dutch,
DvdM_286-13,"Corput, Hansken van den",The Hague,Leiden,1595,15950823,NA,NA,Dutch,
DvdM_286-14,"Corput, Hansken van den",The Hague,Leiden,1595,15951024,15951024,NA,Dutch,
