"Inventory","name","count","source","destination","year","date","r_date"
"DvdM_593a-079","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-05-09","NA"
"DvdM_593a-080","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-05-11","NA"
"DvdM_538a-012","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-05-12","NA"
"DvdM_593a-081","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-05-17","NA"
"DvdM_538a-013","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-05-20","NA"
"DvdM_274-10b","Della Faille, Marten","1","Antwerp","Delft","1585","1585-05-28","NA"
"DvdM_538a-014","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-05-28","NA"
"DvdM_593a-082","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-05-28","NA"
"DvdM_593a-083","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-05-28","NA"
"DvdM_593a-084","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-05-30","NA"
"DvdM_593a-085","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-06-01","NA"
"DvdM_593a-086","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-06-04","NA"
"DvdM_538a-015","Della Faille, Jacques","1","Haarlem","Middelburg","1585","1585-06-11","NA"
"DvdM_239-45","Staten van Brabant","1","Antwerp","The Hague","1585","1585-06-13","NA"
"DvdM_593a-087","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-06-14","NA"
"DvdM_538a-016","Della Faille, Jacques","1","Haarlem","NA","1585","1585-06-17","NA"
"DvdM_218-020","Burgemeesters of Antwerp","1","Antwerp","The Hague","1585","1585-06-19","NA"
"DvdM_593a-088","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-06-20","NA"
"DvdM_157-02a","Wale, Jan de","1","Venice","Haarlem","1585","1585-06-23","NA"
"DvdM_593a-089","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-06-29","NA"
"DvdM_593a-090","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-05","NA"
"DvdM_593a-091","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-09","NA"
"DvdM_593a-092","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-12","NA"
"DvdM_593a-093","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-13","NA"
"DvdM_593a-094","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-19","NA"
"DvdM_593a-095","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-25","NA"
"DvdM_593a-096","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-27","NA"
"DvdM_538a-018","Della Faille, Jacques","1","Lisse","Delft","1585","1585-07-29","NA"
"DvdM_593a-097a","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-07-31","NA"
"DvdM_593a-097b","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-08-01","NA"
"DvdM_538a-019","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-02","NA"
"DvdM_538a-020","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-06","NA"
"DvdM_674-01","Calvart, Jacques","1","Haarlem","Delft","1585","1585-08-06","NA"
"DvdM_538a-022","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-07","NA"
"DvdM_593a-098","Meulen, Andries van der","1","Antwerp","Delft","1585","1585-08-08","NA"
"DvdM_538a-023","Della Faille, Jacques","1","Haarlem","Delft","1585","1585-08-09","NA"
